ETSIdentifierId,Installation_INSPIRE_ID,reportingYear,ETSIdentifier
158,"EL.CAED/100037.INSTALLATION",2018,"1-29"
159,"EL.CAED/100039.INSTALLATION",2018,"1-14"
160,"EL.CAED/100046.INSTALLATION",2018,"1-19"
161,"EL.CAED/100090.INSTALLATION",2018,"1-37"
162,"EL.CAED/100091.INSTALLATION",2018,"1-30"
163,"EL.CAED/100093.INSTALLATION",2018,"1-16"
164,"EL.CAED/100094.INSTALLATION",2018,"1-24"
165,"EL.CAED/100088.INSTALLATION",2018,"1-35"
166,"EL.CAED/100089.INSTALLATION",2018,"1-36"
167,"EL.CAED/100095.INSTALLATION",2018,"1-11"
168,"EL.CAED/100096.INSTALLATION",2018,"1-20"
169,"EL.CAED/100097.INSTALLATION",2018,"2-24"
170,"EL.CAED/100104.INSTALLATION",2018,"5-1"
171,"EL.CAED/100106.INSTALLATION",2018,"5-5"
172,"EL.CAED/100108.INSTALLATION",2018,"5-2"
173,"EL.CAED/100083.INSTALLATION",2018,"1-23"
174,"EL.CAED/100084.INSTALLATION",2018,"1-22"
175,"EL.CAED/100085.INSTALLATION",2018,"1-21"
176,"EL.CAED/100086.INSTALLATION",2018,"1-17"
177,"EL.CAED/100098.INSTALLATION",2018,"1-5"
178,"EL.CAED/100099.INSTALLATION",2018,"1-8"
179,"EL.CAED/100100.INSTALLATION",2018,"1-38"
180,"EL.CAED/100101.INSTALLATION",2018,"1-26"
181,"EL.CAED/100102.INSTALLATION",2018,"1-25"
182,"EL.CAED/100001.INSTALLATION",2018,"1-6"
183,"EL.CAED/100004.INSTALLATION",2018,"1-10"
184,"EL.CAED/100009.INSTALLATION",2018,"1-15"
185,"EL.CAED/100015.INSTALLATION",2018,"1-18"
186,"EL.CAED/100017.INSTALLATION",2018,"1-12"
187,"EL.CAED/100020.INSTALLATION",2018,"1-13"
188,"EL.CAED/100072.INSTALLATION",2018,"1-7"
189,"EL.CAED/100082.INSTALLATION",2018,"1-31"
190,"EL.CAED/100103.INSTALLATION",2018,"1-27"
191,"EL.CAED/100074.INSTALLATION",2018,"6-8"
192,"EL.CAED/100075.INSTALLATION",2018,"6-5"
193,"EL.CAED/100076.INSTALLATION",2018,"6-7"
194,"EL.CAED/100078.INSTALLATION",2018,"6-2"
195,"EL.CAED/100079.INSTALLATION",2018,"6-4"
196,"EL.CAED/100080.INSTALLATION",2018,"6-1"
197,"EL.CAED/100110.INSTALLATION",2018,"5-3"
198,"EL.CAED/100617.INSTALLATION",2018,"9-1"
199,"EL.CAED/100618.INSTALLATION",2018,"7-7"
200,"EL.CAED/100619.INSTALLATION",2018,"7-4"
201,"EL.CAED/100183.INSTALLATION",2018,"9-16"
202,"EL.CAED/100184.INSTALLATION",2018,"9-47"
203,"EL.CAED/100301.INSTALLATION",2018,"10-14"
204,"EL.CAED/100303.INSTALLATION",2018,"10-8"
205,"EL.CAED/100304.INSTALLATION",2018,"10-13"
206,"EL.CAED/100305.INSTALLATION",2018,"10-6"
207,"EL.CAED/100308.INSTALLATION",2018,"10-16"
208,"EL.CAED/100309.INSTALLATION",2018,"10-18"
209,"EL.CAED/100310.INSTALLATION",2018,"10-17"
210,"EL.CAED/100315.INSTALLATION",2018,"2-5"
211,"EL.CAED/100311.INSTALLATION",2018,"10-15"
212,"EL.CAED/100170.INSTALLATION",2018,"12"
213,"EL.CAED/100171.INSTALLATION",2018,"7-20"
214,"EL.CAED/100173.INSTALLATION",2018,"7-17"
215,"EL.CAED/100178.INSTALLATION",2018,"9-4"
216,"EL.CAED/100179.INSTALLATION",2018,"9-3"
217,"EL.CAED/100187.INSTALLATION",2018,"9-22"
218,"EL.CAED/100188.INSTALLATION",2018,"9-17"
219,"EL.CAED/100189.INSTALLATION",2018,"9-10"
220,"EL.CAED/100327.INSTALLATION",2018,"2-34"
221,"EL.CAED/100332.INSTALLATION",2018,"2-6"
222,"EL.CAED/100336.INSTALLATION",2018,"2-7"
223,"EL.CAED/100338.INSTALLATION",2018,"2-35"
224,"EL.CAED/100347.INSTALLATION",2018,"2-9"
225,"EL.CAED/100349.INSTALLATION",2018,"2-33"
226,"EL.CAED/100350.INSTALLATION",2018,"2-11"
227,"EL.CAED/100626.INSTALLATION",2018,"1-39"
228,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/0000005009.ProductionInstallation",2017,"25610"
229,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/0000008917.ProductionInstallation",2017,"468"
230,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/0700000075.ProductionInstallation",2017,"407"
231,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/0000013881.ProductionInstallation",2017,"26"
232,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/0000013885.ProductionInstallation",2017,"26"
233,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/1900016954.ProductionInstallation",2017,"26"
234,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/1900026167.ProductionInstallation",2017,"26"
235,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/0000005044.ProductionInstallation",2017,"462"
236,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/0000005045.ProductionInstallation",2017,"421"
237,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/0000005057.ProductionInstallation",2017,"1"
238,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/0000013327.ProductionInstallation",2017,"1"
239,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/0000005079.ProductionInstallation",2017,"206136"
240,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/0000005089.ProductionInstallation",2017,"396"
241,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/0000010005.ProductionInstallation",2017,"396"
242,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/1900026170.ProductionInstallation",2017,"7273"
243,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/1900026172.ProductionInstallation",2017,"7273"
244,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/0100000476.ProductionInstallation",2017,"65"
245,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/1900025414.ProductionInstallation",2017,"65"
246,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/0000014236.ProductionInstallation",2017,"333"
247,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/0000014777.ProductionInstallation",2017,"333"
248,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/1900014558.ProductionInstallation",2017,"333"
249,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/0000005139.ProductionInstallation",2017,"484"
250,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/0000010242.ProductionInstallation",2017,"53"
251,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/1900015773.ProductionInstallation",2017,"53"
252,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/0000005183.ProductionInstallation",2017,"396"
253,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/0000005186.ProductionInstallation",2017,"443"
254,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/0000013176.ProductionInstallation",2017,"20"
255,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/0000005199.ProductionInstallation",2017,"412"
256,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/0000005206.ProductionInstallation",2017,"437"
257,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/0000011672.ProductionInstallation",2017,"100"
258,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/0900000122.ProductionInstallation",2017,"100"
259,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/0000005217.ProductionInstallation",2017,"101"
260,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/0000005222.ProductionInstallation",2017,"440"
261,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/0000011760.ProductionInstallation",2017,"440"
262,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/1901000584.ProductionInstallation",2017,"440"
263,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/0000005225.ProductionInstallation",2017,"471"
264,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/0000011781.ProductionInstallation",2017,"471"
