fileId_EUReg,fileId_EPRTR_LCP,Parent_Installation_INSPIRE_ID,Installation_Part_INSPIRE_ID,ProductionInstallationPart_thematicId,ProductionInstallationPart_thematicIdScheme,nameOfFeature,installationPartName_confidentialityReasonCode,installationPartName_confidentialityReasonName,plantType,pointGeometryLat,pointGeometryLon,dateOfStartOfOperation,publicDisclosure,combustionPlantCategory,totalRatedThermalInput,withinRefinery,untreatedMunicipalWaste,heatReleaseHazardousWaste,totalNominalCapacityAnyWasteType,permittedCapacityHazardous,permittedCapacityNonHazardous,confidentialityReasonCode,confidentialityReasonName,publicDisclosureURL
6891,5868,"FR.CAED/7191.INSTALLATION","FR.CAED/7191.A.INSTALLATIONPART","0006304426","NationalID","CONFIDENTIAL","Article4(2)(b)","Disclosure of the information would adversely affect international relations, public security or national defence, in accordance with Directive 2003/4/EC.","LCP","47.19064","-1.69031","01/01/72 00:00:00",,"Boiler",175,0,0,0,,,,,,
6891,5868,"FR.CAED/7225.INSTALLATION","FR.CAED/7225.A.INSTALLATIONPART","0006305026","NationalID","ENGIE THERMIQUE FRANCE (INST A)",,,"LCP","47.3093","-2.13511","01/14/08 00:00:00",,"GasTurbine",837,0,0,0,,,,,,
6891,,"FR.CAED/735.INSTALLATION","FR.CAED/735.A.INSTALLATIONPART","0005201464","NationalID","SITCOM CÔTE SUD DES LANDES - UVE BÉNESSE (INST A)",,,"WI","43.6322","-1.36393","03/25/14 00:00:00","URL",,,,0,0,11.1999998092651,0,11.1999998092651,,,"https://www.georisques.gouv.fr/risques/installations/donnees/details/0005201464"
6860,5869,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/0000009065.ProductionInstallation","http://paikkatiedot.fi/so/1002031/pf/ProductionInstallationPart/0000009065.ProductionInstallationPart","9065","YLVA.OSIO","Kattila 1 POK 40 MW ; Kattila 2 POK 40 MW",,,"LCP","62.89485","27.66245","01/01/01 00:00:00",,"Boiler",80,0,0,0,,,,,,
6860,5869,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/0000009067.ProductionInstallation","http://paikkatiedot.fi/so/1002031/pf/ProductionInstallationPart/0000009067.ProductionInstallationPart","9067","YLVA.OSIO","Kattila 1 ; Kattila 2",,,"LCP","62.88923","27.63428","01/01/06 00:00:00",,"Boiler",86,0,0,0,,,,,,
6860,5869,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/0000009082.ProductionInstallation","http://paikkatiedot.fi/so/1002031/pf/ProductionInstallationPart/0000009082.ProductionInstallationPart","9082","YLVA.OSIO","Kattila 1 ; Kattila 2",,,"LCP","62.83567","27.6041","01/01/92 00:00:00",,"Boiler",60,0,0,0,,,,,,
6860,5869,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/0000009145.ProductionInstallation","http://paikkatiedot.fi/so/1002031/pf/ProductionInstallationPart/0000009145.ProductionInstallationPart","9145","YLVA.OSIO","Kattila 1 45 MW ; Kattila 2 45 MW ; Kattila 3 49 MW ; Kattila 4 49 MW",,,"LCP","60.21785","24.83086","01/01/85 00:00:00",,"Boiler",188,0,0,0,,,,,,
6860,5869,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/0000009147.ProductionInstallation","http://paikkatiedot.fi/so/1002031/pf/ProductionInstallationPart/0000009147.ProductionInstallationPart","9147","YLVA.OSIO","Kattila 1, 45MW ; Kattila 2, 45MW ; Kattila 3   45 MW ; Kattila 4, 45MW",,,"LCP","60.17813","24.79671","01/01/87 00:00:00",,"Boiler",180,0,0,0,,,,,,
6860,5869,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/0000009148.ProductionInstallation","http://paikkatiedot.fi/so/1002031/pf/ProductionInstallationPart/0000009148.ProductionInstallationPart","9148","YLVA.OSIO","Kattila 1, 45 MW  (POR kattila muutettu puupellettikäyttöiseksi 2015) ; Kattila 2,  45 MW",,,"LCP","60.1601","24.6298","01/01/16 00:00:00",,"Boiler",90,0,0,0,,,,,,
6860,5869,"http://paikkatiedot.fi/so/1002031/pf/ProductionInstallation/0000009166.ProductionInstallation","http://paikkatiedot.fi/so/1002031/pf/ProductionInstallationPart/0000009166.ProductionInstallationPart","9166","YLVA.OSIO","vesikattila 1, VK 1 ; vesikattila 2, VK 2 ; vesikattila 3, VK3 43 MW",,,"LCP","60.18801","24.82794","01/01/97 00:00:00",,"Boiler",129,0,0,0,,,,,,
